   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    415/5    0.001    0.000    6.241    1.248 /Users/joshbriley/opt/anaconda3/envs/quadtree/lib/python3.13/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
    200/2    0.006    0.000    6.235    3.118 /Users/joshbriley/opt/anaconda3/envs/quadtree/lib/python3.13/site-packages/matplotlib/text.py:358(_get_layout)
      7/3    0.001    0.000    3.897    1.299 /Users/joshbriley/opt/anaconda3/envs/quadtree/lib/python3.13/site-packages/matplotlib/text.py:73(_get_text_metrics_with_cache_impl)
        1    0.044    0.044    3.596    3.596 calc_error.py:35(calculate_norms_for_quadtree)
375038/90000    0.207    0.000    3.499    0.000 /Users/joshbriley/Classes/MSU/Summer26/quadtree/build_quadtree.py:85(evaluate)
    90000    2.884    0.000    3.292    0.000 /Users/joshbriley/Classes/MSU/Summer26/quadtree/build_quadtree.py:169(evaluate_polynomial)
  1167/10    0.006    0.000    2.389    0.239 <frozen importlib._bootstrap>:1349(_find_and_load)
  1162/10    0.004    0.000    2.389    0.239 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1117/11    0.003    0.000    2.387    0.217 <frozen importlib._bootstrap>:911(_load_unlocked)
   951/11    0.002    0.000    2.386    0.217 <frozen importlib._bootstrap_external>:1020(exec_module)
  2738/18    0.002    0.000    2.382    0.132 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   639/78    0.001    0.000    1.993    0.026 {built-in method builtins.__import__}
 1283/491    0.002    0.000    1.781    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    1.324    1.324 /Users/joshbriley/Classes/MSU/Summer26/quadtree/build_quadtree.py:1(<module>)
1117/1108    0.002    0.000    0.786    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
