X_min,X_max,Y_min,Y_max,Depth
1.984375,2.0,1.984375,2.0,8
1.96875,1.984375,1.984375,2.0,8
1.96875,1.984375,1.96875,1.984375,8
1.984375,2.0,1.96875,1.984375,8
1.953125,1.96875,1.984375,2.0,8
1.9375,1.953125,1.984375,2.0,8
1.9375,1.953125,1.96875,1.984375,8
1.953125,1.96875,1.96875,1.984375,8
1.953125,1.96875,1.953125,1.96875,8
1.9375,1.953125,1.953125,1.96875,8
1.9375,1.953125,1.9375,1.953125,8
1.953125,1.96875,1.9375,1.953125,8
1.984375,2.0,1.953125,1.96875,8
1.96875,1.984375,1.953125,1.96875,8
1.96875,1.984375,1.9375,1.953125,8
1.984375,2.0,1.9375,1.953125,8
1.921875,1.9375,1.984375,2.0,8
1.90625,1.921875,1.984375,2.0,8
1.90625,1.921875,1.96875,1.984375,8
1.921875,1.9375,1.96875,1.984375,8
1.875,1.90625,1.96875,2.0,7
1.890625,1.90625,1.953125,1.96875,8
1.875,1.890625,1.953125,1.96875,8
1.875,1.890625,1.9375,1.953125,8
1.890625,1.90625,1.9375,1.953125,8
1.921875,1.9375,1.953125,1.96875,8
1.90625,1.921875,1.953125,1.96875,8
1.90625,1.921875,1.9375,1.953125,8
1.921875,1.9375,1.9375,1.953125,8
1.921875,1.9375,1.921875,1.9375,8
1.90625,1.921875,1.921875,1.9375,8
1.90625,1.921875,1.90625,1.921875,8
1.921875,1.9375,1.90625,1.921875,8
1.890625,1.90625,1.921875,1.9375,8
1.875,1.890625,1.921875,1.9375,8
1.875,1.890625,1.90625,1.921875,8
1.890625,1.90625,1.90625,1.921875,8
1.890625,1.90625,1.890625,1.90625,8
1.875,1.890625,1.890625,1.90625,8
1.875,1.890625,1.875,1.890625,8
1.890625,1.90625,1.875,1.890625,8
1.921875,1.9375,1.890625,1.90625,8
1.90625,1.921875,1.890625,1.90625,8
1.90625,1.921875,1.875,1.890625,8
1.921875,1.9375,1.875,1.890625,8
1.984375,2.0,1.921875,1.9375,8
1.96875,1.984375,1.921875,1.9375,8
1.96875,1.984375,1.90625,1.921875,8
1.984375,2.0,1.90625,1.921875,8
1.953125,1.96875,1.921875,1.9375,8
1.9375,1.953125,1.921875,1.9375,8
1.9375,1.953125,1.90625,1.921875,8
1.953125,1.96875,1.90625,1.921875,8
1.953125,1.96875,1.890625,1.90625,8
1.9375,1.953125,1.890625,1.90625,8
1.9375,1.953125,1.875,1.890625,8
1.953125,1.96875,1.875,1.890625,8
1.96875,2.0,1.875,1.90625,7
1.8125,1.875,1.9375,2.0,6
1.75,1.8125,1.9375,2.0,6
1.75,1.8125,1.875,1.9375,6
1.859375,1.875,1.921875,1.9375,8
1.84375,1.859375,1.921875,1.9375,8
1.84375,1.859375,1.90625,1.921875,8
1.859375,1.875,1.90625,1.921875,8
1.8125,1.84375,1.90625,1.9375,7
1.828125,1.84375,1.890625,1.90625,8
1.8125,1.828125,1.890625,1.90625,8
1.8125,1.828125,1.875,1.890625,8
1.828125,1.84375,1.875,1.890625,8
1.859375,1.875,1.890625,1.90625,8
1.84375,1.859375,1.890625,1.90625,8
1.84375,1.859375,1.875,1.890625,8
1.859375,1.875,1.875,1.890625,8
1.859375,1.875,1.859375,1.875,8
1.84375,1.859375,1.859375,1.875,8
1.84375,1.859375,1.84375,1.859375,8
1.859375,1.875,1.84375,1.859375,8
1.828125,1.84375,1.859375,1.875,8
1.8125,1.828125,1.859375,1.875,8
1.8125,1.828125,1.84375,1.859375,8
1.828125,1.84375,1.84375,1.859375,8
1.828125,1.84375,1.828125,1.84375,8
1.8125,1.828125,1.828125,1.84375,8
1.8125,1.828125,1.8125,1.828125,8
1.828125,1.84375,1.8125,1.828125,8
1.859375,1.875,1.828125,1.84375,8
1.84375,1.859375,1.828125,1.84375,8
1.84375,1.859375,1.8125,1.828125,8
1.859375,1.875,1.8125,1.828125,8
1.796875,1.8125,1.859375,1.875,8
1.78125,1.796875,1.859375,1.875,8
1.78125,1.796875,1.84375,1.859375,8
1.796875,1.8125,1.84375,1.859375,8
1.75,1.78125,1.84375,1.875,7
1.765625,1.78125,1.828125,1.84375,8
1.75,1.765625,1.828125,1.84375,8
1.75,1.765625,1.8125,1.828125,8
1.765625,1.78125,1.8125,1.828125,8
1.796875,1.8125,1.828125,1.84375,8
1.78125,1.796875,1.828125,1.84375,8
1.78125,1.796875,1.8125,1.828125,8
1.796875,1.8125,1.8125,1.828125,8
1.796875,1.8125,1.796875,1.8125,8
1.78125,1.796875,1.796875,1.8125,8
