X,Y,F
0.0,0.25,1.3887943864771144e-11
0.0,0.125,3.726639284186561e-06
0.0,0.0,0.5
0.25,0.75,0.18640329676226988
0.25,0.625,0.1556149927735561
0.25,0.5,0.12467473339911564
0.25,0.375,0.09361645787479708
0.25,0.25,0.5624593178423802
0.25,0.125,1.0312411873460419
0.25,0.0,0.999999999986112
0.125,0.0,0.9999962733607158
1.0,0.75,1.6816387600094462
1.0,0.625,1.5850972729404622
1.0,0.875,1.7675397755967428
0.5,1.0,0.479425538604203
1.0,0.5,1.479425538604203
0.375,0.625,0.23223511862539942
0.375,0.75,0.27755675164633636
0.375,0.5,0.18640702340155407
1.0,0.25,1.247403959254523
1.0,0.0,1.0
0.375,0.375,0.6401619723470637
0.375,0.25,1.0936090045962288
0.375,0.125,1.0468578357342462
0.375,0.0,1.0
0.625,1.0,0.5850972729404622
0.75,1.0,0.6816387600372221
0.0,1.0,3.7200759760208356e-44
0.5,0.875,0.4236762572039381
0.5,0.75,0.3662725290999355
0.5,0.625,0.307442241219665
0.5,0.5,0.747403959254523
0.5,0.375,1.1863995701229857
0.5,0.25,1.1246747333713396
0.5,0.0,1.0
0.5,0.125,1.0624593178423802
0.875,1.0,0.7675472288753111
0.625,0.875,0.5200205419676149
0.625,0.75,0.45177519813096795
0.625,0.625,0.8807664089923901
0.625,0.5,1.3074347879410966
0.875,0.5,1.423676257203938
0.875,0.875,1.1929877272463179
0.875,0.75,1.6101463504365072
0.625,0.375,1.2322351185976235
0.625,0.25,1.155614992773556
0.25,1.0,0.24740395925452294
0.75,0.875,0.6101538037150755
0.75,0.75,1.0333026735360202
0.75,0.625,1.4517677448523996
0.75,0.5,1.3662725290721596
0.0,0.75,2.678636961808078e-33
1.0,1.0,1.3414709848078965
0.0,0.5,1.928749847963918e-22
0.75,0.25,1.18640329676227
0.75,0.375,1.2775567516463364
0.75,0.0,1.0
0.125,0.5,0.06245931784238025
0.0,0.375,5.175555005801869e-17
0.125,0.25,0.031248640624610267
0.125,0.125,0.5156243642248833
0.875,0.625,1.520020541939839
0.125,0.375,0.04685783576202219
